Graduating Class,School ID,School Name,Type,Indicator,Value
2014,1576111,Weston High School,Remediation,% Enrolled in Remediation,*
2014,2726113,Explorations,Remediation,% Enrolled in Remediation,*
2010,26111,Ansonia High School,Credit Attainment,% Enrolled in 16 Months,41.60%
2010,26111,Ansonia High School,Credit Attainment,% Earning 24 Credits,67.20%
2011,26111,Ansonia High School,Credit Attainment,% Enrolled in 16 Months,34.50%
2011,26111,Ansonia High School,Credit Attainment,% Earning 24 Credits,69.40%
2012,26111,Ansonia High School,Credit Attainment,% Enrolled in 16 Months,49.70%
2012,26111,Ansonia High School,Credit Attainment,% Earning 24 Credits,67.80%
2013,26111,Ansonia High School,Credit Attainment,% Enrolled in 16 Months,46.60%
2013,26111,Ansonia High School,Credit Attainment,% Earning 24 Credits,66.70%
2014,26111,Ansonia High School,Credit Attainment,% Enrolled in 16 Months,43.60%
2014,26111,Ansonia High School,Credit Attainment,% Earning 24 Credits,58.60%
2015,26111,Ansonia High School,Credit Attainment,% Enrolled in 16 Months,50.40%
2015,26111,Ansonia High School,Credit Attainment,% Earning 24 Credits,53.50%
2016,26111,Ansonia High School,Credit Attainment,% Enrolled in 16 Months,54.20%
2016,26111,Ansonia High School,Credit Attainment,% Earning 24 Credits,65.60%
2010,46111,Avon High School,Credit Attainment,% Enrolled in 16 Months,26.30%
2010,46111,Avon High School,Credit Attainment,% Earning 24 Credits,75.00%
2011,46111,Avon High School,Credit Attainment,% Enrolled in 16 Months,30.90%
2011,46111,Avon High School,Credit Attainment,% Earning 24 Credits,70.10%
2012,46111,Avon High School,Credit Attainment,% Enrolled in 16 Months,29.60%
2012,46111,Avon High School,Credit Attainment,% Earning 24 Credits,81.90%
2013,46111,Avon High School,Credit Attainment,% Enrolled in 16 Months,31.00%
2013,46111,Avon High School,Credit Attainment,% Earning 24 Credits,71.30%
2014,46111,Avon High School,Credit Attainment,% Enrolled in 16 Months,30.10%
2014,46111,Avon High School,Credit Attainment,% Earning 24 Credits,79.30%
2015,46111,Avon High School,Credit Attainment,% Enrolled in 16 Months,31.30%
2015,46111,Avon High School,Credit Attainment,% Earning 24 Credits,82.70%
2016,46111,Avon High School,Credit Attainment,% Enrolled in 16 Months,34.30%
2016,46111,Avon High School,Credit Attainment,% Earning 24 Credits,81.70%
2010,76111,Berlin High School,Credit Attainment,% Enrolled in 16 Months,43.40%
2010,76111,Berlin High School,Credit Attainment,% Earning 24 Credits,75.50%
2011,76111,Berlin High School,Credit Attainment,% Enrolled in 16 Months,49.20%
2011,76111,Berlin High School,Credit Attainment,% Earning 24 Credits,71.30%
2012,76111,Berlin High School,Credit Attainment,% Enrolled in 16 Months,51.20%
2012,76111,Berlin High School,Credit Attainment,% Earning 24 Credits,75.20%
2013,76111,Berlin High School,Credit Attainment,% Enrolled in 16 Months,51.90%
2013,76111,Berlin High School,Credit Attainment,% Earning 24 Credits,79.10%
2014,76111,Berlin High School,Credit Attainment,% Enrolled in 16 Months,53.70%
2014,76111,Berlin High School,Credit Attainment,% Earning 24 Credits,75.40%
2015,76111,Berlin High School,Credit Attainment,% Enrolled in 16 Months,48.00%
2015,76111,Berlin High School,Credit Attainment,% Earning 24 Credits,74.20%
2016,76111,Berlin High School,Credit Attainment,% Enrolled in 16 Months,53.30%
2016,76111,Berlin High School,Credit Attainment,% Earning 24 Credits,85.20%
2010,96111,Bethel High School,Credit Attainment,% Enrolled in 16 Months,40.60%
2010,96111,Bethel High School,Credit Attainment,% Earning 24 Credits,78.60%
2011,96111,Bethel High School,Credit Attainment,% Enrolled in 16 Months,42.40%
2011,96111,Bethel High School,Credit Attainment,% Earning 24 Credits,69.30%
2012,96111,Bethel High School,Credit Attainment,% Enrolled in 16 Months,51.70%
2012,96111,Bethel High School,Credit Attainment,% Earning 24 Credits,79.20%
2013,96111,Bethel High School,Credit Attainment,% Enrolled in 16 Months,41.20%
2013,96111,Bethel High School,Credit Attainment,% Earning 24 Credits,72.30%
2014,96111,Bethel High School,Credit Attainment,% Enrolled in 16 Months,42.50%
2014,96111,Bethel High School,Credit Attainment,% Earning 24 Credits,63.60%
2015,96111,Bethel High School,Credit Attainment,% Enrolled in 16 Months,41.30%
2015,96111,Bethel High School,Credit Attainment,% Earning 24 Credits,73.90%
2016,96111,Bethel High School,Credit Attainment,% Enrolled in 16 Months,51.00%
2016,96111,Bethel High School,Credit Attainment,% Earning 24 Credits,75.00%
2010,116111,Bloomfield High School,Credit Attainment,% Enrolled in 16 Months,44.20%
2010,116111,Bloomfield High School,Credit Attainment,% Earning 24 Credits,58.50%
2011,116111,Bloomfield High School,Credit Attainment,% Enrolled in 16 Months,47.90%
2011,116111,Bloomfield High School,Credit Attainment,% Earning 24 Credits,62.70%
2012,116111,Bloomfield High School,Credit Attainment,% Enrolled in 16 Months,46.80%
2012,116111,Bloomfield High School,Credit Attainment,% Earning 24 Credits,45.80%
2013,116111,Bloomfield High School,Credit Attainment,% Enrolled in 16 Months,50.40%
2013,116111,Bloomfield High School,Credit Attainment,% Earning 24 Credits,56.90%
2014,116111,Bloomfield High School,Credit Attainment,% Enrolled in 16 Months,51.20%
2014,116111,Bloomfield High School,Credit Attainment,% Earning 24 Credits,65.10%
2015,116111,Bloomfield High School,Credit Attainment,% Enrolled in 16 Months,52.90%
2015,116111,Bloomfield High School,Credit Attainment,% Earning 24 Credits,62.50%
2016,116111,Bloomfield High School,Credit Attainment,% Enrolled in 16 Months,49.60%
2016,116111,Bloomfield High School,Credit Attainment,% Earning 24 Credits,52.50%
2010,116311,Global Experience Magnet Schl,Credit Attainment,% Enrolled in 16 Months,*
2010,116311,Global Experience Magnet Schl,Credit Attainment,% Earning 24 Credits,*
2011,116311,Global Experience Magnet Schl,Credit Attainment,% Enrolled in 16 Months,*
2011,116311,Global Experience Magnet Schl,Credit Attainment,% Earning 24 Credits,*
2012,116311,Global Experience Magnet Schl,Credit Attainment,% Enrolled in 16 Months,*
2012,116311,Global Experience Magnet Schl,Credit Attainment,% Earning 24 Credits,*
2013,116311,Global Experience Magnet Schl,Credit Attainment,% Enrolled in 16 Months,34.40%
2013,116311,Global Experience Magnet Schl,Credit Attainment,% Earning 24 Credits,*
2014,116311,Global Experience Magnet Schl,Credit Attainment,% Enrolled in 16 Months,48.10%
2014,116311,Global Experience Magnet Schl,Credit Attainment,% Earning 24 Credits,*
2015,116311,Global Experience Magnet Schl,Credit Attainment,% Enrolled in 16 Months,60.00%
2015,116311,Global Experience Magnet Schl,Credit Attainment,% Earning 24 Credits,*
2016,116311,Global Experience Magnet Schl,Credit Attainment,% Enrolled in 16 Months,64.00%
2016,116311,Global Experience Magnet Schl,Credit Attainment,% Earning 24 Credits,*
2010,126111,Bolton High School,Credit Attainment,% Enrolled in 16 Months,51.50%
2010,126111,Bolton High School,Credit Attainment,% Earning 24 Credits,76.50%
2011,126111,Bolton High School,Credit Attainment,% Enrolled in 16 Months,54.40%
2011,126111,Bolton High School,Credit Attainment,% Earning 24 Credits,83.80%
2012,126111,Bolton High School,Credit Attainment,% Enrolled in 16 Months,57.60%
2012,126111,Bolton High School,Credit Attainment,% Earning 24 Credits,78.90%
2013,126111,Bolton High School,Credit Attainment,% Enrolled in 16 Months,58.80%
2013,126111,Bolton High School,Credit Attainment,% Earning 24 Credits,83.00%
2014,126111,Bolton High School,Credit Attainment,% Enrolled in 16 Months,54.20%
2014,126111,Bolton High School,Credit Attainment,% Earning 24 Credits,73.10%
2015,126111,Bolton High School,Credit Attainment,% Enrolled in 16 Months,52.10%
2015,126111,Bolton High School,Credit Attainment,% Earning 24 Credits,57.90%
2016,126111,Bolton High School,Credit Attainment,% Enrolled in 16 Months,50.00%
2016,126111,Bolton High School,Credit Attainment,% Earning 24 Credits,85.40%
2010,146111,Branford High School,Credit Attainment,% Enrolled in 16 Months,33.40%
2010,146111,Branford High School,Credit Attainment,% Earning 24 Credits,75.50%
2011,146111,Branford High School,Credit Attainment,% Enrolled in 16 Months,39.40%
2011,146111,Branford High School,Credit Attainment,% Earning 24 Credits,60.40%
2012,146111,Branford High School,Credit Attainment,% Enrolled in 16 Months,40.00%
2012,146111,Branford High School,Credit Attainment,% Earning 24 Credits,66.30%
2013,146111,Branford High School,Credit Attainment,% Enrolled in 16 Months,37.10%
