District code,District name,Overall 2022-2023 attendance rate - year to date,Overall 2021-2022 attendance rate,High needs student 2022-2023 attendance rate - year to date,High needs student 2021-2022 attendance rate,Reporting period,Update date
00000CT,Connecticut,0.9326,0.9186,0.9154,0.898,October 2022,11/28/2022
0010011,Andover School District,0.9171,0.9385,0.9118,0.9324,October 2022,11/28/2022
0020011,Ansonia School District,0.9329,0.9074,0.9269,0.9002,October 2022,11/28/2022
0030011,Ashford School District,0.9278,0.9304,0.9188,0.9193,October 2022,11/28/2022
0040011,Avon School District,0.9506,0.9462,0.9242,0.9228,October 2022,11/28/2022
0050011,Barkhamsted School District,0.9357,0.9304,0.9354,0.919,October 2022,11/28/2022
0070011,Berlin School District,0.9473,0.9357,0.9325,0.9153,October 2022,11/28/2022
0080011,Bethany School District,0.9613,0.948,0.9523,0.9418,October 2022,11/28/2022
0090011,Bethel School District,0.9516,0.9378,0.9393,0.9277,October 2022,11/28/2022
0110011,Bloomfield School District,0.9312,0.9296,0.9241,0.9219,October 2022,11/28/2022
0120011,Bolton School District,0.9574,0.9443,0.945,0.9146,October 2022,11/28/2022
0130011,Bozrah School District,0.9554,0.9432,0.9532,0.941,October 2022,11/28/2022
0140011,Branford School District,0.942,0.928,0.9285,0.9154,October 2022,11/28/2022
0150011,Bridgeport School District,0.9143,0.9035,0.9114,0.8979,October 2022,11/28/2022
0170011,Bristol School District,0.9321,0.927,0.922,0.9133,October 2022,11/28/2022
0180011,Brookfield School District,0.9474,0.9376,0.9365,0.9216,October 2022,11/28/2022
0190011,Brooklyn School District,0.9371,0.9222,0.9262,0.8994,October 2022,11/28/2022
0210011,Canaan School District,0.9629,0.9424,0.9578,0.9467,October 2022,11/28/2022
0220011,Canterbury School District,0.9457,0.9158,0.9346,0.9003,October 2022,11/28/2022
0230011,Canton School District,0.9441,0.9362,0.9204,0.92,October 2022,11/28/2022
0240011,Chaplin School District,0.9306,0.9305,0.9343,0.9242,October 2022,11/28/2022
0250011,Cheshire School District,0.9535,0.9472,0.9371,0.9273,October 2022,11/28/2022
0260011,Chester School District,0.9359,0.9563,0.9313,0.9479,October 2022,11/28/2022
0270011,Clinton School District,0.947,0.9396,0.9317,0.9278,October 2022,11/28/2022
0280011,Colchester School District,0.9347,0.9326,0.9082,0.9157,October 2022,11/28/2022
0290011,Colebrook School District,0.9538,0.9243,0.9593,0.9207,October 2022,11/28/2022
0300011,Columbia School District,0.9523,0.9502,0.9486,0.9429,October 2022,11/28/2022
0310011,Cornwall School District,0.9445,0.9393,0.9497,0.9445,October 2022,11/28/2022
0320011,Coventry School District,0.9402,0.9306,0.918,0.9059,October 2022,11/28/2022
0330011,Cromwell School District,0.9515,0.9448,0.9343,0.9292,October 2022,11/28/2022
0340011,Danbury School District,0.931,0.9201,0.9246,0.9138,October 2022,11/28/2022
0350011,Darien School District,0.97,0.9553,0.9624,0.9477,October 2022,11/28/2022
0360011,Deep River School District,0.9506,0.9567,0.9395,0.95,October 2022,11/28/2022
0370011,Derby School District,0.9173,0.9018,0.9087,0.889,October 2022,11/28/2022
0390011,Eastford School District,0.9385,0.9384,0.9378,0.9265,October 2022,11/28/2022
0400011,East Granby School District,0.9425,0.9305,0.9212,0.8959,October 2022,11/28/2022
0410011,East Haddam School District,0.9514,0.9389,0.9435,0.9233,October 2022,11/28/2022
0420011,East Hampton School District,0.9447,0.9426,0.9276,0.9224,October 2022,11/28/2022
0430011,East Hartford School District,0.9251,0.9114,0.9172,0.9001,October 2022,11/28/2022
0440011,East Haven School District,0.9304,0.9214,0.9232,0.9075,October 2022,11/28/2022
0450011,East Lyme School District,0.9505,0.9487,0.9339,0.9387,October 2022,11/28/2022
0460011,Easton School District,0.9613,0.95,0.9548,0.9433,October 2022,11/28/2022
0470011,East Windsor School District,0.9239,0.9028,0.9128,0.8881,October 2022,11/28/2022
0480011,Ellington School District,0.9495,0.9433,0.9321,0.9275,October 2022,11/28/2022
0490011,Enfield School District,0.9294,0.9235,0.9165,0.9109,October 2022,11/28/2022
0500011,Essex School District,0.9504,0.95,0.9463,0.9485,October 2022,11/28/2022
0510011,Fairfield School District,0.9507,0.9391,0.9388,0.9226,October 2022,11/28/2022
0520011,Farmington School District,0.9517,0.9446,0.9375,0.9246,October 2022,11/28/2022
0530011,Franklin School District,0.941,0.9378,0.9268,0.9182,October 2022,11/28/2022
0540011,Glastonbury School District,0.9578,0.9512,0.9369,0.9269,October 2022,11/28/2022
0560011,Granby School District,0.9461,0.9455,0.9295,0.9287,October 2022,11/28/2022
0570011,Greenwich School District,0.9588,0.9421,0.9464,0.9295,October 2022,11/28/2022
0580011,Griswold School District,0.9301,0.9254,0.9124,0.912,October 2022,11/28/2022
0590011,Groton School District,0.9258,0.9187,0.9129,0.9064,October 2022,11/28/2022
0600011,Guilford School District,0.9516,0.9375,0.9338,0.918,October 2022,11/28/2022
0620011,Hamden School District,0.9172,0.8984,0.9039,0.8855,October 2022,11/28/2022
0630011,Hampton School District,0.9419,0.9113,0.9243,0.8969,October 2022,11/28/2022
0640011,Hartford School District,0.8928,0.863,0.8872,0.8541,October 2022,11/28/2022
0650011,Hartland School District,0.9687,0.9388,0.9588,0.9275,October 2022,11/28/2022
0670011,Hebron School District,0.9494,0.9526,0.9389,0.9452,October 2022,11/28/2022
0680011,Kent School District,0.9468,0.9465,0.9332,0.9241,October 2022,11/28/2022
0690011,Killingly School District,0.9161,0.9122,0.8981,0.8953,October 2022,11/28/2022
0710011,Lebanon School District,0.9104,0.9396,0.8967,0.9274,October 2022,11/28/2022
0720011,Ledyard School District,0.9313,0.9121,0.9121,0.8939,October 2022,11/28/2022
0730011,Lisbon School District,0.9429,0.9211,0.9372,0.9156,October 2022,11/28/2022
0740011,Litchfield School District,0.9368,0.9309,0.9186,0.9168,October 2022,11/28/2022
0760011,Madison School District,0.9592,0.9593,0.9543,0.9536,October 2022,11/28/2022
0770011,Manchester School District,0.9271,0.8873,0.9154,0.8694,October 2022,11/28/2022
0780011,Mansfield School District,0.9332,0.9357,0.9186,0.9165,October 2022,11/28/2022
0790011,Marlborough School District,0.9534,0.946,0.9451,0.9394,October 2022,11/28/2022
0800011,Meriden School District,0.9266,0.9124,0.9212,0.9089,October 2022,11/28/2022
0830011,Middletown School District,0.9046,0.8955,0.8845,0.8752,October 2022,11/28/2022
0840011,Milford School District,0.9432,0.9237,0.9271,0.9087,October 2022,11/28/2022
0850011,Monroe School District,0.9531,0.9491,0.9406,0.9369,October 2022,11/28/2022
0860011,Montville School District,0.9275,0.9236,0.9156,0.908,October 2022,11/28/2022
0880011,Naugatuck School District,0.9232,0.9198,0.9156,0.9071,October 2022,11/28/2022
0890011,New Britain School District,0.8984,0.8714,0.8917,0.8625,October 2022,11/28/2022
0900011,New Canaan School District,0.9656,0.9568,0.9585,0.9501,October 2022,11/28/2022
0910011,New Fairfield School District,0.9448,0.9295,0.9354,0.9158,October 2022,11/28/2022
0920011,New Hartford School District,0.9567,0.9431,0.9436,0.9343,October 2022,11/28/2022
0930011,New Haven School District,0.8709,0.8416,0.8617,0.8328,October 2022,11/28/2022
0940011,Newington School District,0.9425,0.942,0.9265,0.9255,October 2022,11/28/2022
0950011,New London School District,0.8956,0.89,0.8912,0.8854,October 2022,11/28/2022
0960011,New Milford School District,0.9365,0.92,0.926,0.9039,October 2022,11/28/2022
0970011,Newtown School District,0.9551,0.9467,0.9399,0.9347,October 2022,11/28/2022
0980011,Norfolk School District,0.9284,0.9395,0.9319,0.93,October 2022,11/28/2022
0990011,North Branford School District,0.9536,0.9354,0.9431,0.925,October 2022,11/28/2022
1000011,North Canaan School District,0.92,0.9399,0.9037,0.934,October 2022,11/28/2022
1010011,North Haven School District,0.9554,0.9468,0.9382,0.9297,October 2022,11/28/2022
1020011,North Stonington School District,0.9473,0.9416,0.9357,0.9295,October 2022,11/28/2022
1030011,Norwalk School District,0.9337,0.9128,0.9236,0.9033,October 2022,11/28/2022
1040011,Norwich School District,0.9253,0.9245,0.9237,0.9198,October 2022,11/28/2022
1060011,Old Saybrook School District,0.954,0.947,0.9423,0.9404,October 2022,11/28/2022
1070011,Orange School District,0.9521,0.9436,0.9394,0.9392,October 2022,11/28/2022
1080011,Oxford School District,0.9773,0.9415,0.9674,0.9312,October 2022,11/28/2022
1090011,Plainfield School District,0.9276,0.9173,0.9193,0.9071,October 2022,11/28/2022
1100011,Plainville School District,0.9274,0.9261,0.9172,0.9103,October 2022,11/28/2022
1110011,Plymouth School District,0.9159,0.9007,0.8991,0.8835,October 2022,11/28/2022
1120011,Pomfret School District,0.9446,0.9367,0.9378,0.9218,October 2022,11/28/2022
1130011,Portland School District,0.9335,0.9387,0.9096,0.917,October 2022,11/28/2022
1140011,Preston School District,0.9421,0.9147,0.9456,0.9114,October 2022,11/28/2022
1160011,Putnam School District,0.9061,0.9031,0.8865,0.886,October 2022,11/28/2022
1170011,Redding School District,0.9537,0.951,0.9462,0.9468,October 2022,11/28/2022
1180011,Ridgefield School District,0.9587,0.9448,0.9455,0.9324,October 2022,11/28/2022
1190011,Rocky Hill School District,0.9418,0.9483,0.9309,0.9305,October 2022,11/28/2022
1210011,Salem School District,0.9483,0.9439,0.9251,0.9274,October 2022,11/28/2022
1220011,Salisbury School District,0.9398,0.9404,0.9371,0.9314,October 2022,11/28/2022
1230011,Scotland School District,0.9321,0.9137,0.9222,0.9097,October 2022,11/28/2022
1240011,Seymour School District,0.9262,0.9303,0.9147,0.918,October 2022,11/28/2022
1250011,Sharon School District,0.9376,0.9283,0.9375,0.918,October 2022,11/28/2022
1260011,Shelton School District,0.9471,0.9373,0.9351,0.9237,October 2022,11/28/2022
1270011,Sherman School District,0.9437,0.94,0.939,0.9271,October 2022,11/28/2022
1280011,Simsbury School District,0.9488,0.9421,0.935,0.9222,October 2022,11/28/2022
1290011,Somers School District,0.9431,0.9485,0.9294,0.9342,October 2022,11/28/2022
1310011,Southington School District,0.9452,0.9418,0.9255,0.92,October 2022,11/28/2022
1320011,South Windsor School District,0.956,0.9479,0.9408,0.932,October 2022,11/28/2022
1330011,Sprague School District,0.9398,0.912,0.9331,0.9065,October 2022,11/28/2022
1340011,Stafford School District,0.9199,0.9252,0.9071,0.9098,October 2022,11/28/2022
1350011,Stamford School District,0.927,0.9137,0.9156,0.9026,October 2022,11/28/2022
1360011,Sterling School District,0.9253,0.8985,0.9264,0.8875,October 2022,11/28/2022
1370011,Stonington School District,0.9283,0.9314,0.9058,0.911,October 2022,11/28/2022
1380011,Stratford School District,0.9355,0.9186,0.9267,0.9107,October 2022,11/28/2022
1390011,Suffield School District,0.9394,0.9368,0.9262,0.9201,October 2022,11/28/2022
1400011,Thomaston School District,0.9459,0.9425,0.9317,0.9271,October 2022,11/28/2022
1410011,Thompson School District,0.9332,0.8977,0.9199,0.8804,October 2022,11/28/2022
1420011,Tolland School District,0.9525,0.9348,0.9415,0.9169,October 2022,11/28/2022
1430011,Torrington School District,0.9397,0.9215,0.935,0.9151,October 2022,11/28/2022
1440011,Trumbull School District,0.9553,0.9508,0.9445,0.9408,October 2022,11/28/2022
1450011,Union School District,0.8698,0.9508,,,October 2022,11/28/2022
1460011,Vernon School District,0.9384,0.9379,0.9276,0.9249,October 2022,11/28/2022
1470011,Voluntown School District,0.962,0.9402,0.9537,0.9321,October 2022,11/28/2022
1480011,Wallingford School District,0.9356,0.9247,0.9192,0.9068,October 2022,11/28/2022
1510011,Waterbury School District,0.9121,0.8909,0.9085,0.8859,October 2022,11/28/2022
1520011,Waterford School District,0.9489,0.9449,0.9367,0.9292,October 2022,11/28/2022
1530011,Watertown School District,0.9398,0.9428,0.9269,0.9317,October 2022,11/28/2022
1540011,Westbrook School District,0.935,0.926,0.9157,0.9209,October 2022,11/28/2022
1550011,West Hartford School District,0.9447,0.9323,0.9272,0.9112,October 2022,11/28/2022
1560011,West Haven School District,0.928,0.9139,0.9225,0.9064,October 2022,11/28/2022
1570011,Weston School District,0.9585,0.9507,0.947,0.9376,October 2022,11/28/2022
1580011,Westport School District,0.9529,0.9404,0.9372,0.9233,October 2022,11/28/2022
1590011,Wethersfield School District,0.9502,0.9338,0.9364,0.9183,October 2022,11/28/2022
1600011,Willington School District,0.9389,0.9159,0.9242,0.8921,October 2022,11/28/2022
1610011,Wilton School District,0.9658,0.9601,0.9563,0.9532,October 2022,11/28/2022
1620011,Winchester School District,0.9372,0.9203,0.9351,0.9126,October 2022,11/28/2022
1630011,Windham School District,0.9089,0.8757,0.9019,0.8648,October 2022,11/28/2022
1640011,Windsor School District,0.9357,0.9079,0.9243,0.8896,October 2022,11/28/2022
1650011,Windsor Locks School District,0.924,0.9162,0.9097,0.9006,October 2022,11/28/2022
1660011,Wolcott School District,0.9427,0.9424,0.9356,0.9338,October 2022,11/28/2022
1670011,Woodbridge School District,0.9496,0.9473,0.941,0.941,October 2022,11/28/2022
1690011,Woodstock School District,0.9517,0.9425,0.9405,0.9315,October 2022,11/28/2022
2010012,Regional School District 01,0.9311,0.9171,0.907,0.905,October 2022,11/28/2022
2040012,Regional School District 04,0.9354,0.9352,0.9123,0.9178,October 2022,11/28/2022
2050012,Regional School District 05,0.9534,0.9349,0.9246,0.9121,October 2022,11/28/2022
2060012,Regional School District 06,0.9343,0.9251,0.915,0.9108,October 2022,11/28/2022
2070012,Regional School District 07,0.936,0.9327,0.9203,0.9183,October 2022,11/28/2022
2080012,Regional School District 08,0.938,0.9466,0.9026,0.921,October 2022,11/28/2022
2090012,Regional School District 09,0.9476,0.9314,0.9149,0.904,October 2022,11/28/2022
2100012,Regional School District 10,0.9431,0.9471,0.9275,0.9368,October 2022,11/28/2022
2110012,Regional School District 11,0.9317,0.9124,0.9243,0.9027,October 2022,11/28/2022
2120012,Regional School District 12,0.9428,0.9343,0.9291,0.9221,October 2022,11/28/2022
2130012,Regional School District 13,0.9517,0.9388,0.9313,0.9188,October 2022,11/28/2022
2140012,Regional School District 14,0.9584,0.9507,0.9529,0.9404,October 2022,11/28/2022
2150012,Regional School District 15,0.9472,0.9301,0.9331,0.915,October 2022,11/28/2022
2160012,Regional School District 16,0.9561,0.9516,0.9424,0.9376,October 2022,11/28/2022
2170012,Regional School District 17,0.9567,0.9419,0.9477,0.931,October 2022,11/28/2022
2180012,Regional School District 18,0.9548,0.9391,0.9441,0.9251,October 2022,11/28/2022
2190012,Regional School District 19,0.9414,0.9326,0.9133,0.9053,October 2022,11/28/2022
2310018,Goodwin University Educational Services (GUES),0.9187,0.8856,0.9136,0.8771,October 2022,11/28/2022
2410014,Capitol Region Education Council,0.9162,0.8928,0.9077,0.8813,October 2022,11/28/2022
2420014,EdAdvance,0.852,0.7871,,,October 2022,11/28/2022
2430014,Cooperative Educational Services,0.9279,0.9007,0.9168,0.8849,October 2022,11/28/2022
