District code,District name,School code,School name,2020-2021 student count - year to date,2020-2021 attendance rate - year to date,2019-2020 student count,2019-2020 attendance rate,Reporting period,Update date
0010011,Andover School District,0010111,Andover Elementary School,143,0.97,157,0.95,June 2021,08/06/2021
0020011,Ansonia School District,0020311,Mead School,623,0.90,607,0.94,June 2021,08/06/2021
0620011,Hamden School District,0620711,Alice Peck IIC,45,0.78,27,0.92,June 2021,08/06/2021
0020011,Ansonia School District,0020811,Prendergast School,630,0.92,647,0.95,June 2021,08/06/2021
0020011,Ansonia School District,0025111,Ansonia Middle School,364,0.86,359,0.94,June 2021,08/06/2021
0020011,Ansonia School District,0026111,Ansonia High School,485,0.88,505,0.94,June 2021,08/06/2021
0030011,Ashford School District,0030111,Ashford School,344,0.95,348,0.96,June 2021,08/06/2021
0040011,Avon School District,0040311,Roaring Brook School,500,0.97,495,0.95,June 2021,08/06/2021
0040011,Avon School District,0040411,Pine Grove School,611,0.97,633,0.95,June 2021,08/06/2021
0040011,Avon School District,0040511,Thompson Brook School,504,0.97,502,0.96,June 2021,08/06/2021
0040011,Avon School District,0045111,Avon Middle School,509,0.97,528,0.96,June 2021,08/06/2021
0040011,Avon School District,0046111,Avon High School,952,0.95,961,0.96,June 2021,08/06/2021
0050011,Barkhamsted School District,0050111,Barkhamsted Elementary School,186,0.97,193,0.96,June 2021,08/06/2021
0070011,Berlin School District,0070111,Richard D. Hubbard School,219,0.95,212,0.95,June 2021,08/06/2021
0070011,Berlin School District,0070411,Emma Hart Willard School,387,0.95,402,0.96,June 2021,08/06/2021
0070011,Berlin School District,0070511,Mary E. Griswold School,498,0.95,497,0.96,June 2021,08/06/2021
0070011,Berlin School District,0075111,Catherine M. McGee Middle School,641,0.98,651,0.96,June 2021,08/06/2021
0070011,Berlin School District,0076111,Berlin High School,897,0.95,912,0.96,June 2021,08/06/2021
0080011,Bethany School District,0080111,Bethany Community School,354,0.96,353,0.96,June 2021,08/06/2021
0090011,Bethel School District,0090111,Frank A. Berry School,294,0.96,438,0.95,June 2021,08/06/2021
0090011,Bethel School District,0090411,Anna H. Rockwell School,294,0.96,435,0.95,June 2021,08/06/2021
0090011,Bethel School District,0090511,Ralph M. T. Johnson School,703,0.96,469,0.96,June 2021,08/06/2021
0090011,Bethel School District,0095111,Bethel Middle School,801,0.95,811,0.96,June 2021,08/06/2021
