"District","FIPS","Year","Variable","Measure Type","Value"
"Achievement First Bridgeport Academy District","","2010-2011","Total Cohort Count","Number","-6666"
"Achievement First Bridgeport Academy District","","2010-2011","Four Year Graduation Count","Number","-6666"
"Achievement First Bridgeport Academy District","","2010-2011","Four Year Graduation Rate","Percent","-6666"
"Achievement First Bridgeport Academy District","","2010-2011","Still Enrolled After Four Years Count","Number","-6666"
"Achievement First Bridgeport Academy District","","2010-2011","Still Enrolled After Four Years Rate","Percent","-6666"
"Achievement First Bridgeport Academy District","","2010-2011","Other Count","Number","-6666"
"Achievement First Bridgeport Academy District","","2010-2011","Other Rate","Percent","-6666"
"Achievement First Bridgeport Academy District","","2011-2012","Total Cohort Count","Number","-6666"
"Achievement First Bridgeport Academy District","","2011-2012","Four Year Graduation Count","Number","-6666"
"Achievement First Bridgeport Academy District","","2011-2012","Four Year Graduation Rate","Percent","-6666"
"Achievement First Bridgeport Academy District","","2011-2012","Still Enrolled After Four Years Count","Number","-6666"
"Achievement First Bridgeport Academy District","","2011-2012","Still Enrolled After Four Years Rate","Percent","-6666"
"Achievement First Bridgeport Academy District","","2011-2012","Other Count","Number","-6666"
"Achievement First Bridgeport Academy District","","2011-2012","Other Rate","Percent","-6666"
"Achievement First Bridgeport Academy District","","2012-2013","Total Cohort Count","Number","-6666"
"Achievement First Bridgeport Academy District","","2012-2013","Four Year Graduation Count","Number","-6666"
"Achievement First Bridgeport Academy District","","2012-2013","Four Year Graduation Rate","Percent","-6666"
"Achievement First Bridgeport Academy District","","2012-2013","Still Enrolled After Four Years Count","Number","-6666"
"Achievement First Bridgeport Academy District","","2012-2013","Still Enrolled After Four Years Rate","Percent","-6666"
"Achievement First Bridgeport Academy District","","2012-2013","Other Count","Number","-6666"
"Achievement First Bridgeport Academy District","","2012-2013","Other Rate","Percent","-6666"
"Achievement First Bridgeport Academy District","","2013-2014","Total Cohort Count","Number","-6666"
"Achievement First Bridgeport Academy District","","2013-2014","Four Year Graduation Count","Number","-6666"
"Achievement First Bridgeport Academy District","","2013-2014","Four Year Graduation Rate","Percent","-6666"
"Achievement First Bridgeport Academy District","","2013-2014","Still Enrolled After Four Years Count","Number","-6666"
"Achievement First Bridgeport Academy District","","2013-2014","Still Enrolled After Four Years Rate","Percent","-6666"
"Achievement First Bridgeport Academy District","","2013-2014","Other Count","Number","-6666"
"Achievement First Bridgeport Academy District","","2013-2014","Other Rate","Percent","-6666"
"Achievement First Bridgeport Academy District","","2014-2015","Total Cohort Count","Number","31"
"Achievement First Bridgeport Academy District","","2014-2015","Four Year Graduation Count","Number","29"
"Achievement First Bridgeport Academy District","","2014-2015","Four Year Graduation Rate","Percent","93.5"
"Achievement First Bridgeport Academy District","","2014-2015","Still Enrolled After Four Years Count","Number","-9999"
"Achievement First Bridgeport Academy District","","2014-2015","Still Enrolled After Four Years Rate","Percent","-9999"
"Achievement First Bridgeport Academy District","","2014-2015","Other Count","Number","-9999"
"Achievement First Bridgeport Academy District","","2014-2015","Other Rate","Percent","-9999"
"Achievement First Bridgeport Academy District","","2015-2016","Total Cohort Count","Number","30"
"Achievement First Bridgeport Academy District","","2015-2016","Four Year Graduation Count","Number","24"
"Achievement First Bridgeport Academy District","","2015-2016","Four Year Graduation Rate","Percent","80.0"
"Achievement First Bridgeport Academy District","","2015-2016","Still Enrolled After Four Years Count","Number","-9999"
"Achievement First Bridgeport Academy District","","2015-2016","Still Enrolled After Four Years Rate","Percent","-9999"
"Achievement First Bridgeport Academy District","","2015-2016","Other Count","Number","-9999"
"Achievement First Bridgeport Academy District","","2015-2016","Other Rate","Percent","-9999"
"Achievement First Bridgeport Academy District","","2016-2017","Total Cohort Count","Number","31"
"Achievement First Bridgeport Academy District","","2016-2017","Four Year Graduation Count","Number","25"
"Achievement First Bridgeport Academy District","","2016-2017","Four Year Graduation Rate","Percent","80.6"
"Achievement First Bridgeport Academy District","","2016-2017","Still Enrolled After Four Years Count","Number","6"
"Achievement First Bridgeport Academy District","","2016-2017","Still Enrolled After Four Years Rate","Percent","19.4"
"Achievement First Bridgeport Academy District","","2016-2017","Other Count","Number","0"
"Achievement First Bridgeport Academy District","","2016-2017","Other Rate","Percent","0.0"
"Achievement First Bridgeport Academy District","","2017-2018","Total Cohort Count","Number","30"
"Achievement First Bridgeport Academy District","","2017-2018","Four Year Graduation Count","Number","22"
"Achievement First Bridgeport Academy District","","2017-2018","Four Year Graduation Rate","Percent","73.3"
"Achievement First Bridgeport Academy District","","2017-2018","Still Enrolled After Four Years Count","Number","6"
"Achievement First Bridgeport Academy District","","2017-2018","Still Enrolled After Four Years Rate","Percent","20.0"
"Achievement First Bridgeport Academy District","","2017-2018","Other Count","Number","-9999"
"Achievement First Bridgeport Academy District","","2017-2018","Other Rate","Percent","-9999"
"Achievement First Bridgeport Academy District","","2018-2019","Total Cohort Count","Number","47"
"Achievement First Bridgeport Academy District","","2018-2019","Four Year Graduation Count","Number","41"
